district_id,district,region_id,region,tbnot_2022,pop_1k,urban_sc,room_sc,foodsev_sc,inc_100k,inc_100k_lo,inc_100k_hi,inc_100k_reg,cdr,cdr_lo,cdr_hi,cdr_reg,hc_facilities,hc_fac_100k,hc_not,whocomp
PK101,Bagh,PK1,Azad Jammu and Kashmir,591,400.071,1,1,1,243,177,320,243,0.61,0.46,0.83,0.43,11,2.75,53.73,0
PK102,Bhimber,PK1,Azad Jammu and Kashmir,741,458.965,1,1,1,243,177,320,243,0.66,0.5,0.91,0.43,7,1.53,105.86,0
PK103,Jhelum Vellay,PK1,Azad Jammu and Kashmir,273,251.295,1,1,1,243,177,320,243,0.45,0.34,0.61,0.43,5,1.99,54.6,0
PK104,Haveli,PK1,Azad Jammu and Kashmir,167,166.644,1,1,1,243,177,320,243,0.41,0.31,0.57,0.43,4,2.4,41.75,0
PK105,Kotli,PK1,Azad Jammu and Kashmir,655,847.257,1,1,1,243,177,320,243,0.32,0.24,0.44,0.43,10,1.18,65.5,0
PK106,Mirpur,PK1,Azad Jammu and Kashmir,503,495.343,1,1,1,243,177,320,243,0.42,0.32,0.57,0.43,6,1.21,83.83,0
PK107,Muzaffarabad,PK1,Azad Jammu and Kashmir,853,714.9,1,1,1,243,177,320,243,0.49,0.37,0.67,0.43,9,1.26,94.78,0
PK108,Neelum,PK1,Azad Jammu and Kashmir,168,213.548,1,1,1,243,177,320,243,0.32,0.25,0.44,0.43,4,1.87,42,0
PK109,Poonch,PK1,Azad Jammu and Kashmir,382,548.35,1,1,1,243,177,320,243,0.29,0.22,0.39,0.43,6,1.09,63.67,0
PK110,Sudhnoti,PK1,Azad Jammu and Kashmir,284,320.582,1,1,1,243,177,320,243,0.36,0.28,0.5,0.43,4,1.25,71,0
PK201,Awaran,PK2,Balochistan,52,122.595,0.9,1.61,1.78,275,200,361,178,0.15,0.12,0.21,0.38,2,1.63,26,1
PK202,Barkhan,PK2,Balochistan,64,195.906,0.98,1.02,2.07,219,160,288,178,0.15,0.11,0.2,0.38,2,1.02,32,0
PK203,Chagai,PK2,Balochistan,135,276.696,0.98,1.24,1.47,190,138,249,178,0.26,0.2,0.35,0.38,5,1.81,27,0
PK204,Dera Bugti,PK2,Balochistan,69,360.637,0.89,1.14,1.74,187,136,246,178,0.1,0.08,0.14,0.38,1,0.28,69,0
PK205,Gwadar,PK2,Balochistan,54,288.95,0.79,1.2,1.1,111,81,146,178,0.17,0.13,0.23,0.38,7,2.42,7.71,0
PK206,Harnai,PK2,Balochistan,17,103.183,0.91,1.03,1.1,110,80,145,178,0.15,0.11,0.2,0.38,2,1.94,8.5,0
PK207,Jaffarabad,PK2,Balochistan,804,596.229,0.89,1.62,1.87,287,209,378,178,0.47,0.36,0.64,0.38,6,1.01,134,1
PK208,Jhal Magsi,PK2,Balochistan,578,161.71,0.98,1.24,1.47,191,139,251,178,1.87,1.42,2.57,0.38,3,1.86,192.67,0
PK209,Kachhi,PK2,Balochistan,67,248.013,0.95,1.35,1.55,210,153,277,178,0.13,0.1,0.18,0.38,6,2.42,11.17,0
PK210,Kalat,PK2,Balochistan,59,476.268,0.94,1.41,1.4,197,144,259,178,0.06,0.05,0.09,0.38,2,0.42,29.5,0
PK211,Kech/Turbat,PK2,Balochistan,232,1118.364,0.88,1.33,1.27,159,116,209,178,0.13,0.1,0.18,0.38,4,0.36,58,0
PK212,Kharan,PK2,Balochistan,118,177.017,0.9,1.11,1.36,145,106,191,178,0.46,0.35,0.63,0.38,3,1.69,39.33,0
PK213,Khuzdar,PK2,Balochistan,486,952.31,0.88,1.59,1.64,243,177,320,178,0.21,0.16,0.29,0.38,7,0.74,69.43,0
PK214,Killa Abdullah,PK2,Balochistan,432,920.381,0.93,1.15,1.59,180,131,237,178,0.26,0.2,0.36,0.38,5,0.54,86.4,0
PK215,Killa Saifullah,PK2,Balochistan,537,398.381,0.94,1.09,1.48,160,116,210,178,0.84,0.64,1.16,0.38,5,1.26,107.4,0
PK216,Kohlu,PK2,Balochistan,68,261.92,0.97,1.02,1.26,132,96,173,178,0.2,0.15,0.27,0.38,2,0.76,34,0
PK217,Lasbela,PK2,Balochistan,587,673.555,0.83,1.15,1.36,138,100,181,178,0.63,0.48,0.87,0.38,5,0.74,117.4,0
PK219,Loralai,PK2,Balochistan,257,448.745,0.94,1.01,1.55,157,115,207,178,0.36,0.28,0.5,0.38,3,0.67,85.67,0
PK220,Mastung,PK2,Balochistan,129,309.502,0.95,1.3,1.28,169,123,222,178,0.25,0.19,0.34,0.38,6,1.94,21.5,0
PK221,Musakhel,PK2,Balochistan,29,176.931,0.97,1.24,1.47,189,138,249,178,0.09,0.07,0.12,0.38,3,1.7,9.67,0
PK222,Nasirabad,PK2,Balochistan,530,587.973,0.93,1.58,1.77,277,201,363,178,0.33,0.25,0.45,0.38,4,0.68,132.5,1
PK223,Nushki,PK2,Balochistan,208,209.395,0.91,1.05,1.36,138,101,182,178,0.72,0.55,0.99,0.38,2,0.96,104,0
PK224,Panjgur,PK2,Balochistan,81,342.519,0.91,1.24,1.47,178,129,233,178,0.13,0.1,0.18,0.38,4,1.17,20.25,0
PK225,Pishin,PK2,Balochistan,598,878.094,0.93,1.01,1.44,144,105,190,178,0.47,0.36,0.65,0.38,9,1.02,66.44,0
PK226,Quetta,PK2,Balochistan,2962,3021.056,0.85,1.07,1.52,145,106,191,178,0.68,0.51,0.93,0.38,18,0.6,164.56,0
PK227,Sherani,PK2,Balochistan,112,180.54,1,1,1.13,120,88,158,178,0.52,0.39,0.71,0.38,1,0.55,112,0
PK228,Sibi,PK2,Balochistan,233,145.403,0.83,1.45,1.38,176,128,232,178,0.91,0.69,1.25,0.38,4,2.75,58.25,0
PK229,Sohbatpur,PK2,Balochistan,99,219.787,0.98,1.67,1.87,324,236,426,178,0.14,0.11,0.19,0.38,2,0.91,49.5,1
PK230,Washuk,PK2,Balochistan,42,199.361,0.96,1.24,1.26,158,115,208,178,0.13,0.1,0.18,0.38,2,1,21,0
PK231,Zhob,PK2,Balochistan,410,351.695,0.95,1.24,1.47,184,134,242,178,0.63,0.48,0.87,0.38,2,0.57,205,0
PK232,Ziarat,PK2,Balochistan,22,192.101,0.99,1.05,1.29,142,104,187,178,0.08,0.06,0.11,0.38,3,1.56,7.33,0
PK233,Shaheed Sikandar Abad,PK2,Balochistan,48,223.789,1,1.54,1.46,240,175,315,178,0.09,0.07,0.12,0.38,2,0.89,24,0
PK234,Duki,PK2,Balochistan,42,172.768,1,1.01,1.39,148,108,195,178,0.16,0.12,0.23,0.38,2,1.16,21,0
PK301,Astore,PK3,Gilgit-Baltistan,85,104.842,1,1,1,162,118,213,162,0.5,0.38,0.69,0.96,6,5.72,14.17,0
PK302,Diamir,PK3,Gilgit-Baltistan,1362,291.652,1,1,1,162,118,213,162,2.88,2.19,3.95,0.96,6,2.06,227,0
PK303,Ghanche,PK3,Gilgit-Baltistan,25,169.665,1,1,1,162,118,213,162,0.09,0.07,0.12,0.96,1,0.59,25,0
PK304,Khizer,PK3,Gilgit-Baltistan,73,197.843,1,1,1,162,118,213,162,0.23,0.17,0.31,0.96,6,3.03,12.17,0
PK305,Gilgit,PK3,Gilgit-Baltistan,725,377.756,1,1,1,162,118,213,162,1.18,0.9,1.62,0.96,8,2.12,90.63,0
PK306,Hunza ,PK3,Gilgit-Baltistan,11,57.236,1,1,1,162,118,213,162,0.12,0.09,0.16,0.96,1,1.75,11,0
PK307,Skardu,PK3,Gilgit-Baltistan,297,256.94,1,1,1,162,118,213,162,0.71,0.54,0.98,0.96,4,1.56,74.25,0
PK308,Nagar,PK3,Gilgit-Baltistan,14,80.13,1,1,1,162,118,213,162,0.11,0.08,0.15,0.96,3,3.74,4.67,0
