quarter,province,district,dots_population,grand_total_new_relapsed_cases,total_new_opd_quarter,presumptive_tb_cases_identified,presumptive_tb_patients_tested_afb_or_genx,confirmed_tb_cases_detected,new_relapse_tb_cases_tested_xpert
Q1 2018,AJK,BAGH,"380,956",231,42617,1308,1300,140,104
Q1 2018,AJK,BHIMBER,"430,761",145,31431,785,785,61,61
Q1 2018,AJK,HAVALI,"155,790",58,17381,252,252,22,22
Q1 2018,AJK,JHELUM VALLEY,"236,084",95,27670,337,337,28,38
Q1 2018,AJK,KOTLI,"774,194",224,23138,987,987,68,68
Q1 2018,AJK,MIRPUR,"467,194",117,17585,856,856,60,47
Q1 2018,AJK,MUZAFFARABAD,"651,043",265,21957,1948,1948,120,85
Q1 2018,AJK,NEELUM,"195,860",58,13603,341,341,24,8
Q1 2018,AJK,POONCH/ RAWALA KOT,"512,634",108,24552,448,448,36,36
Q1 2018,AJK,SUDHNOTI,"304,756",59,39803,282,282,19,19
Q1 2018,BATAN,Awaran,"121,680",23,9102,0,53,8,0
Q1 2018,BATAN,Barkhan,"171,556",27,7600,0,37,4,0
Q1 2018,BATAN,Bolan (Kachhi),"237,030",6,12710,588,113,6,0
Q1 2018,BATAN,Chaghi,"226,008",15,13400,0,71,9,0
Q1 2018,BATAN,Dera Bugti,"312,603",5,11317,58,68,5,0
Q1 2018,BATAN,Dukki,"153,000",5,3000,39,38,2,0
Q1 2018,BATAN,Gawadar,"263,514",9,7880,0,87,6,0
Q1 2018,BATAN,Haranai,"97,017",3,6000,0,46,3,0
Q1 2018,BATAN,Jaffarabad,"513,813",176,168227,3720,644,76,90
Q1 2018,BATAN,Jhal Magsi,"149,225",30,16589,657,98,11,0
Q1 2018,BATAN,Kalat,"205,754",9,1123,0,98,4,0
Q1 2018,BATAN,Kech,"909,116",69,4880,641,626,26,10
Q1 2018,BATAN,Kharan,"156,152",29,2879,146,143,20,0
Q1 2018,BATAN,Khuzdar,"802,207",95,20205,721,704,56,0
Q1 2018,BATAN,Killa Abdullah,"757,578",138,26120,0,574,46,0
Q1 2018,BATAN,Killa Saifullah,"342,814",56,16270,0,316,24,0
Q1 2018,BATAN,Kohlu,"214,350",21,12623,0,71,20,0
Q1 2018,BATAN,Lasbela,"574,292",161,33838,580,1083,114,39
Q1 2018,BATAN,Loralai,"244,400",106,10290,244,244,49,36
Q1 2018,BATAN,Mastung,"266,461",20,28416,0,242,11,0
Q1 2018,BATAN,Musa Khail,"167,017",2,6960,0,36,2,0
Q1 2018,BATAN,Naseerabad,"490,538",129,28358,1948,502,47,0
Q1 2018,BATAN,Noshki,"178,796",49,24075,0,179,15,0
