district_genxfile,district_pakregfile
bagh,bagh
bhimber,bhimber
havali,haveli
jhelum valley,jhelum vellay
kotli,kotli
mirpur,mirpur
muzaffarabad,muzaffarabad
neelum,neelum
poonch/ rawala kot,poonch
sudhnoti,sudhnoti
awaran,awaran
barkhan,barkhan
bolan (kachhi),kachhi
chaghi,chagai
dera bugti,dera bugti
dukki,duki
gawadar,gwadar
haranai,harnai
jaffarabad,jaffarabad
jhal magsi,jhal magsi
kalat,kalat
kech,kech/turbat
kharan,kharan
khuzdar,khuzdar
killa abdullah,killa abdullah
killa saifullah,killa saifullah
kohlu,kohlu
lasbela,lasbela
loralai,loralai
mastung,mastung
musa khail,musakhel
naseerabad,nasirabad
noshki,nushki
pishin,pishin
panjgur,panjgur
quetta,quetta
sherani,sherani
sibi,sibi
shaheed sikander abad,shaheed sikandar abad
sohbat pur,sohbatpur
washuk,washuk
zhob,zhob
ziarat,ziarat
bajour,bajaur
khyber,khyber
kurram,kurram
mohmand,mohmand
north waziristan,north waziristan
orakzai,orakzai
south waziristan,south waziristan
fr bannu,bannu
fr kohat,kohat
fr tank/d.i.khan,tank 
astore,astore
diamer,diamir
ghanche,ghanche
ghizer,khizer
gilgit,gilgit
hunza nagar,hunza
skardu,skardu
abbottabad,abbottabad
bannu,bannu
battagram,batagram
buner,buner
charsadda,charsadda
chitral,chitral
di khan,dera ismail khan
hangu,hangu
karak,karak
kohat,kohat
kohistan,kohistan
haripur,haripur
lakki marwat,lakki marwat
malakand,malakand
mansehra,mansehra
mardan,mardan
nowshera,nowshera
peshawar,peshawar
shangla,shangla
swabi,swabi
swat,swat
tank,tank
lower dir,lower dir
upper dir,upper dir
attock,attock
bahawalpur,bahawalpur
bahawal nagar,bahawalnagar
bhakkar,bhakkar
chakwal,chakwal
chiniot,chiniot
dera ghazi khan,dera ghazi khan
faisalabad,faisalabad
gujranwala,gujranwala
gujrat,gujrat
hafizabad,hafizabad
jhang,jhang
jhelum,jhelum
kasur,kasur
khanewal,khanewal
khushab,khushab
lahore,lahore
layyah,leiah
lodhran,lodhran
mandi baha ud din,mandi bahauddin
mianwali,mianwali
multan,multan
muzaffar garh,muzaffargarh
nankana saib,nankana sahib
narowal,narowal
okara,okara
pak pattan,pakpattan
rahim yar khan,rahim yar khan
rajan pur,rajanpur
rawalpindi,rawalpindi
sahiwal,sahiwal
sargodha,sargodha
sheikhupura,sheikhupura
sialkot,sialkot
toba tek singh,toba tek singh
vehari,vehari
badin,badin
dadu,dadu
ghotki,ghotki
hyderabad,hyderabad
jacobabad,jacobabad
jamshoro,jamshoro
karachi total,karachi total
kashmore,kashmore
kharipur,khairpur
larkana,larkana
matiari,matiari
mirpur khas,mirpur khas
naushahro feroze,naushahro feroze
nawabshah,shaheed benazirabad
sanghar,sanghar
qamber shahdad kot,kambar shahadad kot
shikarpur,shikarpur
sukkar,sukkur
tando muhammad khan,tando muhammad khan
tando allah yar,tando allahyar
tharparkar,tharparkar
thatta,thatta
sujawal,sujawal
umerkot,umer kot
islamabad,islamabad
