"Diagnosis outputs (Group: Pulmonary TB: HIV-negative, Children aged < 15 years; Mode: DiagPatient; Severity: undefined)"
"","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"Number received diagnostic evaluation","130555.367398","134116.923268","137301.532085","139727.904391","141012.445424","140804.139989","138707.331544","134348.772254","127803.695608","130771.153511","137132.373882","141887.407107","146897.865969","151743.474556","157335.780683","163627.133275"
"Number diagnosed with TB","25336.834149","26028.024041","26646.059952","27116.945171","27366.235596","27325.809834","26918.882958","26073.018892","24802.818174","25378.711683","26613.231479","27536.039102","28508.417088","29448.802639","30534.099518","31755.060099"
"    # True positives","22213.512872","22819.49843","23361.347841","23774.186114","23992.74602","23957.303621","23600.539419","22858.946678","21745.326095","22250.228081","23332.566199","24141.617514","24994.128557","25818.590936","26770.101139","27840.551512"
"    # False positives","3123.321277","3208.525611","3284.712111","3342.759056","3373.489576","3368.506213","3318.343538","3214.072215","3057.492079","3128.483602","3280.665281","3394.421588","3514.288531","3630.211703","3763.99838","3914.508587"
"    True cases found (%)","87.672804","87.672804","87.672804","87.672804","87.672804","87.672804","87.672804","87.672804","87.672804","87.672804","87.672804","87.672804","87.672804","87.672804","87.672804","87.672804"
"    TP:FP","7.112145","7.112145","7.112145","7.112145","7.112145","7.112145","7.112145","7.112145","7.112145","7.112145","7.112145","7.112145","7.112145","7.112145","7.112145","7.112145"
"Number of true positive cases missed","4231.145309","4346.57113","4449.780541","4528.416403","4570.046861","4563.295928","4495.340842","4354.085081","4141.966875","4238.138682","4444.298324","4598.403336","4760.786392","4917.826845","5099.066884","5302.962193"
"Number evaluated to confirm one TB case","10.61774","10.61774","10.61774","10.61774","10.61774","10.61774","10.61774","10.61774","10.61774","10.61774","10.61774","10.61774","10.61774","10.61774","10.61774","10.61774"



"Diagnosis outputs (Group: Pulmonary TB: HIV-negative, Adults 15 years and above; Mode: DiagPatient; Severity: undefined)"
"","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"Number received diagnostic evaluation","1782678.223133","1831348.064448","1874867.423633","1908041.885675","1925652.205758","1922830.044699","1894226.243525","1834800.59937","1745478.81396","1786031.335077","1872921.713199","1937880.072894","2020205.252663","2086856.916488","2163773.36101","2250299.468501"
"Number diagnosed with TB","345963.73462","355409.073575","363854.860277","370293.016437","373710.64505","373162.949248","367611.819633","356079.10581","338744.458389","346614.471873","363477.256939","376083.702916","392060.521546","404995.586459","419922.733745","436714.824938"
"    # True positives","303316.105997","311597.09948","319001.757478","324646.269491","327642.600317","327162.420051","322295.58908","312184.535527","296986.764118","303886.625592","318670.702045","329723.126682","343730.45152","355070.985593","368158.034134","382880.131286"
"    # False positives","42647.628623","43811.974095","44853.102799","45646.746946","46068.044733","46000.529196","45316.230553","43894.570284","41757.694272","42727.846281","44806.554894","46360.576234","48330.070026","49924.600866","51764.699611","53834.693652"
"    True cases found (%)","87.672804","87.672804","87.672804","87.672804","87.672804","87.672804","87.672804","87.672804","87.672804","87.672804","87.672804","87.672804","87.672804","87.672804","87.672804","87.672804"
