,Country,Savings,Perc. TGF Fund,Perc. Total Fund,Perc. Gap,Perc. Diagnosis Gap
0,Afghanistan,656364.0,3.06,1.495,13.963,No Gap
1,Angola,414087.0,4.011,0.495,1.089,1.467
2,Armenia,35760.0,0.81,0.282,3.804,No Gap
3,Azerbaijan,85397.0,1.334,0.267,No Gap,No Gap
4,Bangladesh,3649986.0,2.378,0.816,3.715,12.947
5,Belarus,446450.0,5.053,0.309,No Gap,No Gap
6,Belize,4980.0,1.06,0.337,0.907,No Gap
7,Benin,212381.0,2.865,2.165,17.548,65.128
8,Bhutan,152091.0,10.12,3.807,7.052,73.641
9,Burkina Faso,441368.0,9.653,2.248,3.02,10.86
10,Burundi,175794.0,5.634,0.682,0.867,2.315
11,Cambodia,1603738.0,5.682,1.547,3.274,20.122
12,Central African Republic,16434.0,0.266,0.143,0.738,No Gap
13,Congo,122259.0,1.727,1.061,25.286,33.456
14,Cuba,41334.0,inf,3.658,No Gap,No Gap
15,Côte d'Ivoire,178782.0,1.386,0.189,0.258,1.411
16,Djibouti,21390.0,2.979,1.8,4.55,7.067
17,Dominican Republic,2490.0,0.061,0.003,0.01,0.511
18,Eritrea,174300.0,3.421,1.4,2.369,7.244
19,Eswatini,164589.0,1.18,0.467,21.664,No Gap
20,Ethiopia,2699409.0,5.156,0.835,1.451,8.62
21,Gabon,212487.0,10.346,4.002,10.216,37.417
22,Gambia,94318.0,,,,
23,Georgia,121480.0,1.296,0.349,2.858,3.25
24,Guatemala,120018.0,1.812,0.755,No Gap,No Gap
25,Guinea,80427.0,1.147,0.84,No Gap,No Gap
26,Guinea-Bissau,174088.0,4.373,0.86,1.085,84.363
27,Haiti,319716.0,1.401,0.905,3.318,41.107
28,India,7768800.0,2.81,0.479,No Gap,No Gap
29,Iran (Islamic Republic),27390.0,,,,
30,Kazakhstan,240392.0,1.758,0.066,No Gap,No Gap
31,Kenya,1027872.0,1.871,0.447,0.982,21.834
32,Kyrgyzstan,398400.0,2.891,0.874,664.465,3837.411
33,Liberia,204895.0,2.89,0.881,1.34,23.211
34,Malawi,665079.0,3.327,0.671,1.496,12.354
35,Mauritania,16932.0,0.552,0.61,No Gap,No Gap
36,Moldova,308390.0,,,,
37,Morocco,398400.0,9.259,0.38,1.394,4.487
38,Mozambique,363042.0,0.784,0.418,No Gap,No Gap
39,Myanmar,1338557.0,1.281,0.518,1.24,5.951
40,Nepal,646902.0,2.255,0.749,1.817,12.245
41,Nicaragua,111303.0,10.334,1.174,9.014,1698.245
42,Nigeria,8231442.0,4.194,0.727,1.05,5.619
43,Pakistan,747000.0,0.45,0.158,0.254,0.74
44,Panama,19422.0,inf,1.713,No Gap,No Gap
45,Papua New Guinea,628156.0,6.021,0.911,2.966,44.933
46,Paraguay,87897.0,3.069,0.212,0.305,2.086
47,Peru,74700.0,0.713,0.02,0.332,0.788
48,Philippines,2706879.0,2.553,0.311,0.518,0.587
49,Romania,175178.0,9.734,0.399,7.115,7.353
50,Sao Tome and Principe,71214.0,8.12,3.372,6.541,444.893
51,Senegal,365781.0,8.322,0.833,1.009,4.879
52,Somalia,1182110.0,3.956,3.243,18.706,33.217
53,South Sudan,292326.0,2.002,1.391,4.563,58.093
54,Sri Lanka,201650.0,6.425,1.448,No Gap,No Gap
55,Sudan,286599.0,1.989,1.086,2.671,122.362
56,Tajikistan,543359.0,2.678,1.285,10.042,33.978
57,Thailand,1408404.0,8.067,1.534,No Gap,No Gap
58,Turkmenistan,27390.0,,,,
59,Ukraine,908865.0,1.099,0.207,0.835,346.583
60,Uzbekistan,1016125.0,,,,
61,Viet Nam,6695397.0,9.899,1.968,2.656,11.05
62,Zimbabwe,2135673.0,7.74,2.475,4.79,33.36
