Country,Grant
Afghanistan,36213004
Angola,20957852
Armenia,3081582
Azerbaijan,7083662
Bangladesh,120811080
Belarus,6527509
Benin,7379607
Bhutan,1101949
Bolivia (Plurinational State),4385978
Botswana,1145473
Burkina Faso,11892816
Burundi,9235526
Cabo Verde,500000
Cambodia,14845335
Cameroon,17023815
Central African Republic,11471064
Chad,10000456
Comoros,500000
Congo,8642474
Congo (Democratic Republic),100844218
Côte d'Ivoire,16827784
Djibouti,3452257
Egypt,2028039
El Salvador,2221745
Eritrea,5303054
Swatini,9826179
Ethiopia,54362193
Gabon,2128464
Gambia,3748296
Georgia,4066002
Ghana,18217425
Guatemala,3213134
Guinea,11183674
Guinea-Bissau,6129088
Guyana,500000
Haiti,25356124
Honduras,2734923
India,280000000
Indonesia,156710720
Kazakhstan,6759439
Kenya,61567466
Korea (Democratic People's Republic),23966904
Kosovo,897654
Kyrgyzstan,13705547
Lao (People's Democratic Republic),8088355
Lesotho,10018183
Liberia,7811749
Madagascar,25041766
Malawi,20036530
Mali,8395751
Mauritania,2135286
Moldova,8037673
Mongolia,10683629
Morocco,4238514
Mozambique,55556657
Multicountry Caribbean MCC,1200000
Multicountry Middle East MER,19213805
Multicountry Western Pacific,4765382
Myanmar,75453054
Namibia,5744469
Nepal,27108540
Nicaragua,2162558
Niger,8913153
Nigeria,153771804
Pakistan,181689888
Papua New Guinea,19437470
Peru,10860018
Philippines,136020179
Rwanda,12848472
Sao Tome and Principe,886789
Senegal,12935281
Sierra Leone,15157877
Solomon Islands,833300
Somalia,29702178
South Africa,72441924
South Sudan,14117233
Sri Lanka,2969568
Sudan,13382769
Tajikistan,10526715
Tanzania (United Republic),49963120
Thailand,20116930
Timor-Leste,8328831
Togo,3908933
Turkmenistan,6238193
Uganda,31392046
Ukraine,55864257
Uzbekistan,23258685
Venezuela (Bolivarian Republic),3711817
Viet Nam,59814002
Zambia,21508410
Zanzibar,1377491
Zimbabwe,23797805
