,country,year,cf_tot_domestic,cf_tot_usaid,cf_tot_gf,cf_lab,cf_tot_grnt,cf_tot_sources,budget_lab,budget_tot,budget_gap
0,Afghanistan,2018,533779.0,4462530.0,3178499.0,2473391.0,2523675.0,10698483.0,2543262.0,10881354.0,182871.0
1,Afghanistan,2019,511854.0,2766449.0,6533095.0,2208668.0,3608394.0,13419792.0,2797414.0,16957452.0,3537660.0
2,Afghanistan,2020,1171864.0,3000000.0,6935551.0,3188713.0,6871009.0,17978424.0,3200000.0,19137128.0,1158704.0
3,Afghanistan,2021,,,7638546.0,1696418.0,2995053.0,10633599.0,1696418.0,10633599.0,0.0
4,Afghanistan,2022,269339.0,1555946.0,6876137.0,715071.0,1898528.0,10599950.0,515246.0,14141821.0,3541871.0
5,Afghanistan,2023,,2122000.0,10972004.0,3708900.0,3954213.0,17048217.0,4000000.0,23551821.0,6503604.0
6,Afghanistan,2024,116282.0,1425750.0,9632452.0,3637848.0,60715.0,11235199.0,8670098.0,32501339.0,21266140.0
7,Albania,2018,,,,,,,,0.0,
9,Albania,2020,,,,,,,,791588.0,
10,Albania,2021,,,,,,,,837539.0,
11,Albania,2022,,,,,,,,978092.0,
12,Albania,2023,,,,,,,,1203000.0,
13,Albania,2024,,,,,,,,1064348.0,
21,American Samoa,2018,,,,,,,,4000.0,
22,American Samoa,2019,,,,,,,,100000.0,
24,American Samoa,2021,,,,,,,,0.0,
28,Andorra,2018,,,,,,,,17000.0,
29,Andorra,2019,,,,,,,,15000.0,
30,Andorra,2020,,,,,,,,6000.0,
31,Andorra,2021,,,,,,,,6000.0,
32,Andorra,2022,,,,,,,,6284.0,
35,Angola,2018,3293147.0,0.0,4972863.0,500000.0,689553.0,8955563.0,1526820.0,45881526.0,36925963.0
36,Angola,2019,13692478.0,0.0,2416285.0,7216284.0,4000000.0,20108763.0,17133500.0,66503196.0,46394433.0
37,Angola,2020,17672192.0,0.0,1897542.0,742078.0,737293.0,20307027.0,742078.0,20307027.0,0.0
38,Angola,2021,6041429.0,,4213441.0,2100360.0,,10254870.0,16412210.0,29384514.0,19129644.0
39,Angola,2022,10831930.0,,4213441.0,2500360.0,,15045371.0,16412210.0,33946496.0,18901125.0
40,Angola,2023,7902038.0,0.0,2844511.0,1272581.0,0.0,10746549.0,1641221.0,20382058.0,9635509.0
41,Angola,2024,17123125.0,0.0,1912426.0,2500360.0,0.0,19035551.0,2500360.0,19035551.0,0.0
54,Antigua and Barbuda,2023,,,,,,,,10000.0,
56,Argentina,2018,5189232.0,0.0,0.0,263032.0,0.0,5189232.0,263032.0,5189232.0,0.0
57,Argentina,2019,2510552.0,0.0,0.0,263032.0,0.0,2510552.0,263032.0,2510552.0,0.0
58,Argentina,2020,1320638.0,0.0,0.0,129378.0,0.0,1320638.0,129378.0,1320638.0,0.0
59,Argentina,2021,1086705.0,0.0,0.0,146665.0,0.0,1086705.0,146665.0,1086705.0,0.0
60,Argentina,2022,1809798.0,,,464568.0,,1809798.0,464568.0,1809798.0,0.0
61,Argentina,2023,2782160.0,0.0,0.0,768150.0,0.0,2782160.0,768150.0,2782160.0,0.0
62,Argentina,2024,1613085.0,,,267753.0,,1613085.0,267753.0,1613085.0,0.0
63,Armenia,2018,2520982.0,0.0,4307786.0,422187.0,0.0,6828768.0,422187.0,6828768.0,0.0
64,Armenia,2019,74089.0,0.0,1130669.0,164346.0,0.0,1204758.0,164346.0,1204758.0,0.0
65,Armenia,2020,3331208.0,,1805341.0,633011.0,,5136549.0,633011.0,5136549.0,0.0
66,Armenia,2021,2059940.0,,1288276.0,690187.0,,3348216.0,690187.0,4288204.0,939988.0
67,Armenia,2022,1923417.0,,1319868.0,333514.0,,3243285.0,333514.0,3243285.0,0.0
68,Armenia,2023,,,,,,,480224.0,740365.0,
69,Armenia,2024,2285933.0,,711567.0,151241.0,,2997500.0,151241.0,2997500.0,0.0
92,Azerbaijan,2019,16487435.0,,4397794.0,896894.0,,20885229.0,896894.0,22024660.0,1139431.0
93,Azerbaijan,2020,14455282.0,,2878142.0,753947.0,,17333424.0,753947.0,17333424.0,0.0
94,Azerbaijan,2021,11086889.0,,3525398.0,1332264.0,,14612287.0,1332264.0,14612287.0,0.0
96,Azerbaijan,2023,15450784.0,,2126014.0,1365006.0,,17576798.0,1365006.0,17576798.0,0.0
97,Azerbaijan,2024,18628000.0,,2200000.0,692000.0,,20828000.0,692000.0,20828000.0,0.0
112,Bangladesh,2018,9498160.0,0.0,36651484.0,8004443.0,0.0,46149644.0,22368855.0,66440743.0,20291099.0
113,Bangladesh,2019,18153743.0,12981354.0,36966056.0,12753612.0,0.0,68101153.0,32123255.0,79703153.0,11602000.0
114,Bangladesh,2020,31284925.0,13500000.0,58400862.0,27344810.0,0.0,103185787.0,28849329.0,135285330.0,32099543.0
115,Bangladesh,2021,55686165.0,130717.0,39263464.0,32188489.0,0.0,95080346.0,49661669.0,157112276.0,62031930.0
116,Bangladesh,2022,73820623.0,21000000.0,55830653.0,36830781.0,0.0,150651276.0,46045848.0,154757295.0,4106019.0
117,Bangladesh,2023,77460666.0,20374000.0,57968748.0,36617025.0,0.0,155803414.0,70266408.0,204331958.0,48528544.0
118,Bangladesh,2024,36696467.0,22000000.0,11324499.0,4721151.0,0.0,70020966.0,47622621.0,365484791.0,295463825.0
119,Barbados,2018,,,,,,,,0.0,
120,Barbados,2019,,,,,,,,0.0,
121,Barbados,2020,,,,,,,,0.0,
122,Barbados,2021,,,,,,,,0.0,
123,Barbados,2022,,,,,,,,0.0,
125,Barbados,2024,,,,,,,,0.0,
126,Belarus,2018,4457692.0,,3106394.0,1378674.0,774396.0,8338482.0,1378674.0,11178135.0,2839653.0
127,Belarus,2019,4253882.0,0.0,4148972.0,1901223.0,1239941.0,9642795.0,1901223.0,9642795.0,0.0
128,Belarus,2020,67114272.0,0.0,6650113.0,1498694.0,441056.0,74205441.0,1498694.0,74205441.0,0.0
129,Belarus,2021,67920001.0,0.0,2185789.0,2174613.0,,70105790.0,2174613.0,70105790.0,0.0
140,Belize,2018,33655.0,0.0,466794.0,53900.0,0.0,500449.0,53900.0,500449.0,0.0
141,Belize,2019,101000.0,0.0,166665.0,15750.0,0.0,267665.0,53900.0,500449.0,232784.0
142,Belize,2020,252203.0,0.0,144646.0,53900.0,0.0,396849.0,53900.0,396849.0,0.0
143,Belize,2021,101000.0,0.0,162631.0,53900.0,0.0,263631.0,53900.0,540683.0,277052.0
144,Belize,2022,106000.0,0.0,162631.0,53900.0,0.0,268631.0,53900.0,540683.0,272052.0
146,Belize,2024,438169.0,0.0,0.0,53900.0,0.0,438169.0,53900.0,438169.0,0.0
147,Benin,2018,350893.0,0.0,2913700.0,579090.0,0.0,3264593.0,606750.0,4466757.0,1202164.0
148,Benin,2019,250788.0,0.0,2081757.0,540007.0,33439.0,2365984.0,587082.0,3611259.0,1245275.0
149,Benin,2020,204523.0,0.0,2091489.0,497542.0,0.0,2296012.0,686700.0,2862601.0,566589.0
150,Benin,2021,399875.0,0.0,2614080.0,538990.0,0.0,3013955.0,645622.0,3291954.0,277999.0
151,Benin,2022,584002.0,0.0,2707431.0,1073594.0,0.0,3291433.0,1103900.0,3657148.0,365715.0
152,Benin,2023,650958.0,0.0,2865244.0,1234453.0,0.0,3516202.0,1234453.0,3784862.0,268660.0
153,Benin,2024,830072.0,0.0,3438964.0,1424301.0,0.0,4269036.0,3917649.0,13300016.0,9030980.0
161,Bhutan,2018,608335.0,,478874.0,194400.0,,1087209.0,602850.0,1699811.0,612602.0
162,Bhutan,2019,12857.0,0.0,381263.0,54200.0,14757.0,408877.0,167450.0,792118.0,383241.0
163,Bhutan,2020,20000.0,0.0,316237.0,101040.0,0.0,336237.0,205000.0,708787.0,372550.0
164,Bhutan,2021,60000.0,0.0,505861.0,235227.0,50000.0,615861.0,267600.0,786720.0,170859.0
165,Bhutan,2022,115861.0,0.0,680833.0,123540.0,90000.0,886694.0,193737.0,2499857.0,1613163.0
166,Bhutan,2023,68000.0,0.0,664678.0,278900.0,51234.0,783912.0,346684.0,1654179.0,870267.0
167,Bhutan,2024,68000.0,0.0,679138.0,329377.0,201407.0,948545.0,749800.0,1739650.0,791105.0
168,Bolivia (Plurinational State of),2018,1113122.0,0.0,5273632.0,2702506.0,0.0,6386754.0,2702506.0,6386754.0,0.0
169,Bolivia (Plurinational State of),2019,1861700.0,0.0,5002454.0,3042127.0,0.0,6864154.0,3042127.0,6864154.0,0.0
170,Bolivia (Plurinational State of),2020,1814699.0,0.0,1621341.0,541083.0,0.0,3436040.0,,,
171,Bolivia (Plurinational State of),2021,1810344.0,0.0,2291173.0,693592.0,0.0,4101517.0,693592.0,4101517.0,0.0
173,Bolivia (Plurinational State of),2023,1650416.0,0.0,1555577.0,908673.0,0.0,3205993.0,908673.0,3205993.0,0.0
174,Bolivia (Plurinational State of),2024,1654100.0,0.0,1125177.0,524579.0,0.0,2779277.0,524579.0,2779277.0,0.0
175,Bosnia and Herzegovina,2018,7976671.0,,,3196979.0,,7976671.0,3196979.0,7976671.0,0.0
176,Bosnia and Herzegovina,2019,2997555.0,0.0,1760.0,568307.0,0.0,2999315.0,568307.0,2999315.0,0.0
177,Bosnia and Herzegovina,2020,71552.0,,,,,71552.0,,71552.0,0.0
178,Bosnia and Herzegovina,2021,73239.0,,,,,73239.0,,73239.0,0.0
179,Bosnia and Herzegovina,2022,43857.0,,,,,43857.0,,43857.0,0.0
180,Bosnia and Herzegovina,2023,73447.0,,,,,73447.0,,73447.0,0.0
182,Botswana,2018,5838455.0,500000.0,1900000.0,2197214.0,0.0,8238455.0,2197214.0,12571894.0,4333439.0
183,Botswana,2019,5069849.0,300000.0,600000.0,471319.0,100000.0,6069849.0,1168144.0,8458634.0,2388785.0
184,Botswana,2020,11548220.0,0.0,2000000.0,61000.0,500000.0,14048220.0,87000.0,16203600.0,2155380.0
186,Botswana,2022,6500000.0,100000.0,300000.0,1927000.0,600000.0,7500000.0,2201605.0,13374605.0,5874605.0
189,Brazil,2018,47987348.0,0.0,0.0,5339198.0,0.0,47987348.0,5500000.0,56670687.0,8683339.0
