,Country,Savings,Perc. TGF Fund,Perc. Total Fund,Perc. Gap,Perc. Diagnosis Gap
0,Angola,153882.0,5.41,0.755,1.597,41.743
1,Armenia,16026.0,,2.165,,
2,Azerbaijan,136800.0,6.435,0.778,No Gap,No Gap
3,Bangladesh,1543800.0,2.663,0.756,3.181,4.588
4,Belarus,177786.0,,,,
5,Bhutan,17000.0,2.558,1.028,1.953,25.08
6,Burkina Faso,166867.0,4.513,4.486,No Gap,No Gap
7,Cambodia,747000.0,10.671,2.117,4.538,25.759
8,Central African Republic,0.0,0.0,0.0,0.0,0.0
9,Congo,75717.0,6.615,1.768,No Gap,No Gap
10,Cuba,222471.0,,,,
11,Djibouti,64218.0,,,,
12,Eritrea,144100.0,8.459,3.788,6.861,12.544
13,Ethiopia,1832982.0,9.073,1.404,2.52,16.651
14,Gambia,66375.0,6.136,5.447,55.894,No Gap
15,Georgia,107440.0,,,,
16,Guatemala,16766.0,1.145,0.218,3.12,6.51
17,Guinea-Bissau,84162.0,5.078,2.63,5.832,28.937
18,Kazakhstan,58800.0,1.38,0.042,No Gap,No Gap
19,Kenya,2676003.0,10.636,3.996,12.405,9378.296
20,Malawi,418650.0,6.288,1.194,3.412,13.026
21,Moldova,0.0,,,,
22,Mongolia,19600.0,0.647,0.14,No Gap,No Gap
23,Myanmar,1008830.0,2.192,1.025,2.868,8.476
24,Nicaragua,70686.0,,,,
25,Peru,83166.0,1.385,0.067,0.941,15.573
26,Philippines,484012.0,1.176,0.117,0.195,0.226
27,Senegal,309756.0,20.646,3.145,5.405,14.635
28,Somalia,317600.0,2.387,2.387,No Gap,No Gap
29,South Sudan,138910.0,2.619,2.619,No Gap,No Gap
30,Tajikistan,157009.0,2.945,0.838,5.026,20.472
31,Thailand,1131883.0,18.416,3.971,No Gap,No Gap
32,Ukraine,1079505.0,2.862,1.023,5.424,No Gap
33,Viet Nam,1344600.0,3.315,0.898,1.248,5.009
34,Zimbabwe,681513.0,11.802,3.926,56.519,56.983
